belotn@DESKTOP-QPKGRAU:~/.local/bin$ python3.10 -X importtime docling --to md quiz4_practice_part2.pdf 2>&1 | head -50
import time:        61 |         61 |                 _pickle
import time:        44 |         44 |                     org
import time:        16 |         59 |                   org.python
import time:         8 |         67 |                 org.python.core
import time:      1080 |       1474 |               pickle
import time:        77 |         77 |                 colorsys
import time:       133 |        133 |                     rich.color_triplet
import time:       126 |        259 |                   rich.palette
import time:        71 |        329 |                 rich._palettes
import time:       163 |        163 |                 rich.terminal_theme
import time:       626 |       1193 |               rich.color
import time:       437 |       3103 |             rich.style
import time:       728 |       4730 |           rich.segment
import time:       152 |       4882 |         rich.jupyter
import time:        95 |         95 |           rich.protocol
import time:       231 |        326 |         rich.measure
import time:        98 |       5306 |       rich.constrain
import time:       206 |       5511 |     rich.align
import time:       135 |        135 |     rich.padding
import time:       130 |        130 |       rich._wrap
import time:       200 |        200 |       rich.containers
import time:       221 |        221 |       rich.control
import time:      1533 |       1533 |         rich._emoji_codes
import time:       221 |        221 |         rich._emoji_replace
import time:       202 |       1955 |       rich.emoji
import time:       686 |       3189 |     rich.text
import time:      1082 |      15584 |   rich.table
import time:       411 |        411 |           gettext
import time:       268 |        268 |             click._compat
import time:        84 |         84 |               click.globals
import time:       162 |        162 |               click.utils
import time:       224 |        469 |             click.exceptions
import time:       504 |       1240 |           click.types
import time:       145 |        145 |           click._utils
import time:       164 |        164 |             click.parser
import time:       150 |        314 |           click.formatting
import time:       172 |        172 |           click.termui
import time:       673 |       2951 |         click.core
import time:       224 |        224 |         click.decorators
import time:       183 |       3357 |       click
import time:        17 |       3374 |     click.exceptions
import time:        87 |         87 |     typer.colors
import time:       177 |        177 |         _uuid
import time:       279 |        456 |       uuid
import time:       117 |        117 |       typer._types
import time:       113 |        113 |       typer._typing
import time:       124 |        124 |             importlib._abc
import time:       152 |        276 |           importlib.util
import time:       202 |        202 |           click.shell_completion
import time:        82 |         82 |               shellingham._core
import time:        90 |        172 |             shellingham
import time:       232 |        403 |           typer._completion_shared
import time:       173 |       1053 |         typer._completion_classes
import time:       582 |        582 |         typer.models
import time:       150 |        150 |         typer.params
import time:       133 |        133 |         typer.utils
import time:       201 |       2118 |       typer.completion
import time:       463 |        463 |       typer.core
import time:       534 |       3798 |     typer.main
import time:       174 |       7431 |   typer
import time:        88 |         88 |         docling_core
import time:        87 |        175 |       docling_core.transforms
import time:        82 |        256 |     docling_core.transforms.serializer
import time:        46 |         46 |       binascii
import time:       147 |        193 |     base64
import time:       714 |        714 |       html.entities
import time:       257 |        970 |     html
import time:        99 |         99 |         xml
import time:       105 |        204 |       xml.etree
import time:       302 |        302 |       xml.etree.ElementPath
import time:        98 |         98 |         pyexpat
import time:        68 |        165 |       _elementtree
import time:       980 |       1649 |     xml.etree.ElementTree
import time:       221 |        221 |           xml.sax.handler
import time:       132 |        132 |           xml.sax._exceptions
import time:       250 |        603 |         xml.sax.xmlreader
import time:       170 |        772 |       xml.sax
import time:       108 |        108 |         email
import time:      2240 |       2240 |           _hashlib
import time:        49 |         49 |           _blake2
import time:       248 |       2536 |         hashlib
import time:       508 |        508 |           http
import time:       226 |        226 |               email.errors
import time:       109 |        109 |                   email.quoprimime
import time:        71 |         71 |                   email.base64mime
import time:       109 |        109 |                       quopri
import time:       118 |        227 |                     email.encoders
import time:       108 |        334 |                   email.charset
import time:       444 |        957 |                 email.header
import time:       102 |        102 |                     _socket
import time:        99 |         99 |                     array
import time:       907 |       1106 |                   socket
import time:       580 |        580 |                       locale
import time:       293 |        872 |                     calendar
import time:       148 |       1020 |                   email._parseaddr
import time:       370 |       2495 |                 email.utils
import time:       208 |       3659 |               email._policybase
import time:       365 |       4249 |             email.feedparser
import time:       138 |       4386 |           email.parser
import time:        88 |         88 |             uu
import time:       149 |        149 |             email._encoded_words
import time:        61 |         61 |             email.iterators
import time:       353 |        650 |           email.message
import time:       902 |        902 |             _ssl
import time:      1409 |       2310 |           ssl
import time:       609 |       8462 |         http.client
import time:       218 |        218 |           urllib.response
import time:       140 |        358 |         urllib.error
import time:      1072 |      12534 |       urllib.request
import time:       240 |      13545 |     xml.sax.saxutils
import time:       443 |        443 |             _csv
import time:       186 |        628 |           csv
import time:       559 |        559 |           zipfile
import time:       538 |        538 |           textwrap
import time:        44 |         44 |               importlib.metadata._functools
import time:        86 |        130 |             importlib.metadata._text
import time:       151 |        280 |           importlib.metadata._adapters
import time:       196 |        196 |           importlib.metadata._meta
import time:       138 |        138 |           importlib.metadata._collections
import time:        55 |         55 |           importlib.metadata._itertools
import time:       344 |        344 |           importlib.abc
import time:       873 |       3607 |         importlib.metadata
import time:      1649 |       5256 |       latex2mathml
import time:        64 |         64 |       xml.etree.cElementTree
import time:       226 |        226 |       latex2mathml.commands
import time:       148 |        148 |       latex2mathml.symbols_parser
import time:       101 |        101 |         latex2mathml.exceptions
import time:       730 |        730 |         latex2mathml.tokenizer
import time:       275 |       1105 |       latex2mathml.walker
import time:       433 |       7229 |     latex2mathml.converter
import time:       102 |        102 |         PIL._version
import time:       136 |        237 |       PIL
import time:      2637 |       2637 |       PIL.ExifTags
import time:        79 |         79 |         PIL._deprecate
import time:       221 |        299 |       PIL.ImageMode
import time:       357 |        357 |       PIL.TiffTags
import time:        79 |         79 |       PIL._binary
import time:       160 |        160 |         PIL._typing
import time:        86 |        246 |       PIL._util
import time:        48 |         48 |       defusedxml
import time:       698 |        698 |       PIL._imaging
import time:      1079 |       5676 |     PIL.Image
import time:       534 |        534 |             pydantic_core._pydantic_core
import time:      1756 |       1756 |               typing_extensions
import time:       101 |        101 |                       concurrent
import time:       342 |        342 |                       concurrent.futures._base
import time:       179 |        621 |                     concurrent.futures
import time:        26 |         26 |                       _heapq
import time:       178 |        204 |                     heapq
import time:       133 |        133 |                     asyncio.constants
import time:        52 |         52 |                         asyncio.format_helpers
import time:        78 |        129 |                       asyncio.base_futures
import time:        81 |         81 |                       asyncio.log
import time:       140 |        349 |                     asyncio.coroutines
import time:       126 |        126 |                         _contextvars
import time:        75 |        200 |                       contextvars
import time:       116 |        116 |                         asyncio.exceptions
import time:        85 |         85 |                         asyncio.base_tasks
import time:       215 |        415 |                       _asyncio
import time:       310 |        924 |                     asyncio.events
import time:       131 |        131 |                     asyncio.futures
import time:       134 |        134 |                     asyncio.protocols
import time:       162 |        162 |                       asyncio.transports
import time:       209 |        370 |                     asyncio.sslproto
import time:        57 |         57 |                         asyncio.mixins
import time:       219 |        219 |                         asyncio.tasks
import time:       183 |        458 |                       asyncio.locks
import time:       201 |        659 |                     asyncio.staggered
import time:       117 |        117 |                     asyncio.trsock
import time:       923 |       4560 |                   asyncio.base_events
import time:        80 |         80 |                   asyncio.runners
import time:       145 |        145 |                   asyncio.queues
import time:       202 |        202 |                   asyncio.streams
import time:       166 |        166 |                   asyncio.subprocess
import time:        73 |         73 |                   asyncio.threads
import time:       135 |        135 |                     asyncio.base_subprocess
import time:       274 |        274 |                     asyncio.selector_events
import time:       401 |        809 |                   asyncio.unix_events
import time:       617 |       6649 |                 asyncio
import time:        46 |       6694 |               asyncio.coroutines
import time:      5453 |      13902 |             pydantic_core.core_schema
import time:       343 |      14778 |           pydantic_core
import time:        95 |      14872 |         pydantic.version
import time:       165 |      15036 |       pydantic._migration
import time:        73 |         73 |           typing_inspection
import time:       677 |        677 |           typing_inspection.typing_objects
import time:       567 |       1316 |         typing_inspection.introspection
import time:        79 |         79 |         pydantic._internal
import time:       211 |        211 |             pydantic._internal._namespace_utils
import time:       276 |        487 |           pydantic._internal._typing_extra
import time:       203 |        689 |         pydantic._internal._repr
import time:       313 |       2396 |       pydantic.errors
import time:       238 |      17669 |     pydantic
import time:       500 |        500 |       pydantic.annotated_handlers
import time:       142 |        641 |     pydantic._internal._schema_generation_shared
import time:       141 |        141 |       pydantic.warnings
import time:        73 |         73 |           pydantic._internal._internal_dataclass
import time:      1151 |       1223 |         pydantic.aliases
import time:       513 |        513 |         pydantic.config
import time:       228 |       1964 |       pydantic._internal._config
import time:       133 |        133 |       pydantic._internal._core_metadata
import time:       202 |        202 |       pydantic._internal._core_utils
import time:        63 |         63 |           pydantic._internal._import_utils
import time:       624 |        687 |         pydantic._internal._utils
import time:      2567 |       3253 |       pydantic._internal._decorators
import time:       307 |        307 |           pydantic.plugin
import time:       229 |        536 |         pydantic.plugin._schema_validator
import time:       235 |        771 |       pydantic._internal._mock_val_ser
import time:      1305 |       7766 |     pydantic.json_schema
import time:       511 |        511 |             pydantic._internal._forward_ref
import time:       331 |        841 |           pydantic._internal._generics
import time:       126 |        126 |           pydantic._internal._docs_extraction
import time:       176 |       1142 |         pydantic._internal._fields
import time:       198 |        198 |                 sysconfig
import time:       245 |        245 |                 _sysconfigdata__x86_64-linux-gnu
import time:       346 |        788 |               zoneinfo._tzpath
import time:       107 |        107 |               zoneinfo._common
import time:       144 |        144 |               _zoneinfo
import time:       138 |       1175 |             zoneinfo
import time:      1569 |       1569 |             pydantic.functional_validators
import time:       142 |        142 |             pydantic._internal._discriminated_union
import time:       188 |        188 |             pydantic._internal._known_annotated_metadata
import time:       476 |        476 |             pydantic._internal._schema_gather
import time:       870 |       4418 |           pydantic._internal._generate_schema
import time:       102 |        102 |           pydantic._internal._signature
import time:       286 |       4805 |         pydantic._internal._model_construction
import time:       501 |       6447 |       pydantic.main
import time:       255 |       6701 |     pydantic.type_adapter
import time:      3931 |       3931 |     annotated_types
import time:       213 |        213 |     pydantic._internal._validators
import time:      5242 |       5242 |     pydantic.types
import time:       100 |        100 |                   pydantic.plugin._loader
import time:      5169 |       5269 |                 docling_core.types.doc.base
import time:       143 |        143 |                         _json
import time:       271 |        414 |                       json.scanner
import time:       256 |        670 |                     json.decoder
import time:       241 |        241 |                     json.encoder
import time:       173 |       1084 |                   json
import time:       111 |        111 |                     _winapi
import time:        43 |         43 |                     winreg
import time:       179 |        332 |                   mimetypes
import time:        65 |         65 |                           numpy._utils._convertions
import time:        91 |        155 |                         numpy._utils
import time:       170 |        325 |                       numpy._globals
import time:        70 |         70 |                       numpy._expired_attrs_2_0
import time:        72 |         72 |                       numpy.version
import time:        15 |         15 |                         numpy._distributor_init_local
import time:        66 |         81 |                       numpy._distributor_init
import time:        59 |         59 |                                 numpy._utils._inspect
import time:       296 |        296 |                                   numpy.exceptions
import time:       200 |        200 |                                   numpy._core._exceptions
import time:        81 |         81 |                                   numpy._core.printoptions
import time:        96 |         96 |                                   numpy.dtypes
import time:      8247 |       8917 |                                 numpy._core._multiarray_umath
import time:       200 |       9175 |                               numpy._core.overrides
import time:       464 |       9638 |                             numpy._core.multiarray
import time:       195 |        195 |                             numpy._core.umath
import time:        77 |         77 |                               numpy._core._string_helpers
import time:       231 |        231 |                               numpy._core._type_aliases
import time:       113 |        113 |                               numpy._core._dtype
import time:       241 |        661 |                             numpy._core.numerictypes
import time:       144 |        144 |                                   numpy._core._methods
import time:       813 |        957 |                                 numpy._core.fromnumeric
import time:       253 |       1209 |                               numpy._core.shape_base
import time:       148 |        148 |                               numpy._core._ufunc_config
import time:       372 |        372 |                               numpy._core.arrayprint
import time:        93 |         93 |                               numpy._core._asarray
import time:       628 |       2447 |                             numpy._core.numeric
import time:       306 |        306 |                             numpy._core.records
import time:       125 |        125 |                             numpy._core.memmap
import time:       174 |        174 |                             numpy._core.function_base
import time:       124 |        124 |                             numpy._core._machar
import time:       218 |        218 |                             numpy._core.getlimits
import time:       203 |        203 |                             numpy._core.einsumfunc
import time:      1001 |       1001 |                             numpy._core._add_newdocs
import time:       290 |        290 |                             numpy._core._add_newdocs_scalars
import time:       132 |        132 |                             numpy._core._dtype_ctypes
import time:       433 |        433 |                                 _ctypes
import time:       189 |        189 |                                 ctypes._endian
import time:       642 |       1263 |                               ctypes
import time:       548 |       1810 |                             numpy._core._internal
import time:       110 |        110 |                             numpy._pytesttester
import time:       506 |      17935 |                           numpy._core
import time:        20 |      17954 |                         numpy._core._multiarray_umath
import time:       241 |      18194 |                       numpy.__config__
import time:        65 |         65 |                           numpy.lib._array_utils_impl
import time:       131 |        196 |                         numpy.lib.array_utils
import time:        65 |         65 |                         numpy.lib.introspect
import time:       122 |        122 |                         numpy.lib.mixins
import time:       204 |        204 |                               numpy.lib._utils_impl
import time:       233 |        436 |                             numpy.lib.format
import time:       170 |        170 |                             numpy.lib._datasource
import time:       255 |        255 |                             numpy.lib._iotools
import time:       452 |       1312 |                           numpy.lib._npyio_impl
